"","LastName","value","L1"
"483","Dolmans","GH",21732829
"484","Zhang","AY",21705158
"485","Friedrich","JB",21701338
"486","Hovius","SE",21701337
"487","Knobloch","K",21701313
"488","Iskra","NI",21695974
"489","Jerosch-Herold","C",21693044
"490","Degreef","I",21682613
"491","Schuh","A",21682024
"492","Stanbury","SJ",21658860
"493","Nugteren","HM",21633367
"494","Sibbitt","WL",21617556
"495","Satish","L",21612641
"496","Iqbal","SA",21612554
"497","Rahr","L",21593073
"498","Carvalhana","G",21592840
"499","Descatha","A",21575231
"500","Beaudreuil","J",21549632
"501","Tripoli","M",21528776
"502","Desai","SS",21527148
"503","Eaton","C",21527145
"504","Buntine","JA",21518200
"505","Klingenberg","L",21501565
"506","Klingenberg","L",21501564
"507","Myeroff","CM",21489722
"508","Gerber","RA",21486483
"509","Degreef","I",21473442
"510","Hayward","WA",21469942
"511","Edmunds","I",21467085
"512","Furniss","D",21463745
"513","Uemura","T",21446810
"514","Crean","SM",21382860
"515","Bertleff","MJ",21372055
"516","Sampson","S",21357497
"517","Beaudreuil","J",21353618
"518","Apard","T",21334954
"519","Troeger","H",21321814
"520","Jerosch-Herold","C",21300178
"521","Knobloch","K",21277691
"522","Hutchison","RL",21276895
"523","Packham","T",21272762
"524","Oliveira","EA",21245824
"525","Haslik","W",21225571
"526","Trybus","M",22593988
"527","Böttcher","R",21161859
"528","Gilpin","D",21134613
"529","Brandt","KE",21124163
"530","Watt","AJ",21124099
"531","Budd","HR",21106346
"532","Hindocha","S",21104823
"533","Hussar","DA",21071329
"534","Shih","B",21060335
"535","Koudela","K",21059334
"536","Kostaki","M",21051867
"537","Ojwang","JO",20971583
"538","Jain","S",20961699
"539","Jerosch-Herold","C",20952160
"540","Melamed","E",20941930
"541","Komatsu","I",20888494
"542","Meinel","A",20878596
"543","Manet","MP",20828892
"544","Tripoli","M",20818219
"545","Créteur","V",20808269
"546","Rayan","GM",20800974
"547","Slattery","D",20795961
"548","Degreef","I",20698450
"549","Beredjiklian","PK",20686936
"550","Mosakhani","N",20676061
"551","Desai","SS",20666587
"552","Patel","VP",20632986
"553","Phillips","PJ",20628678
"554","Becker","GW",20621942
"555","Mahaffey","PJ",20591937
"556","Usmar","S",20575973
"557","Shih","BB",20561756
"558","Takase","K",20478727
"559","Saraf","S",20445309
"560","Naderi","N",20444795
"561","Lilly","SI",20438993
"562","Srinivasan","RC",20434276
"563","Verjee","LS",20432463
"564","Watt","AJ",20353858
"565","Traynor","K",20208044
"566","Lam","WL",20181770
"567","Huisstede","BM",20159137
"568","Walton","MJ",20135734
"569","Betz","N",20127225
"570","Baker","RP",20118124
"571","Morrow","T",20088151
"572","Heyd","R",20082184
"573","Lee","MV",20078523
"574","Holzer","LA",20050321
"575","Bayat","A",20046200
"576","Couto-Gonzalez","I",22778295
"577","Sedic","M",20036806
"578","Zhang","P",20032329
"579","Donaldson","OW",20007420
"580","Vrebos","J",19994819
"581","Guha","AR",19959456
"582","Rhoden","EL",19912489
"583","Verjee","LS",19910144
"584","Vi","L",19896280
"585","Ganeval","A",19879030
"586","van Rijssen","AL",19857298
"587","Akhavani","MA",19853545
"588","Hettiaratchy","S",19828565
"589","Ramchurn","N",19818294
"590","Degreef","I",19803262
"591","Townley","WA",19786408
"592","Villani","F",19781973
"593","Hurst","LC",19726771
"594","Knobloch","K",19726137
"595","James","DG",19723966
"596","Fujinaka","Y",19721201
"597","Howard","K",19687084
"598","Balaguer","T",19675030
"599","Chen","W",22009846
"600","Vi","L",19619531
"601","Stollery","N",19606614
"602","Mavrogenis","AF",19602340
"603","Saleh","WR",19598327
"604","Guney","F",19590382
"605","Sommer","AP",19569957
"606","Sarkar","P",19552087
"607","Vi","L",19545383
"608","Henry","FP",19541556
"609","Harreld","KL",19521739
"610","Bobiński","R",19514484
"611","Bisson","MA",19505772
"612","McMurtrie","A",19457907
"613","Flageul","G",19446386
"614","Titarenko","IV",19432157
"615","Pelissier","P",19369299
"616","Bhavsar","S",19331810
"617","Patel","N",19303381
"618","Sheridan","C",19270661
"619","Ullah","AS",19258615
"620","Smith","RP",19220942
"621","Pratt","AL",19220604
"622","Papanas","N",19217319
"623","Branford","OA",19201273
"624","Amadio","PC",19182010
"625","Degreef","I",19153881
"626","Degreef","I",19153880
"627","Jurisić","D",19149230
"628","Anwar","MU",19129356
"629","Shih","B",19121738
"630","Brown","BT",19111199
"631","Webb","JA",19102823
"632","Kraljevic Pavelic","S",19089850
"633","Kraljevic Pavelic","S",19010640
"634","Mendonca","DA",19008162
"635","Engstrand","C",18986794
"636","Townley","WA",18984345
"637","Degreef","I",18958538
"638","Tripoli","M",18936123
"639","Lellouche","H",18922672
"640","Bobiński","R",18847012
"641","Degreef","I",18811027
"642","Rayan","GM",18762122
"643","Johnston","P",18762113
"644","Ulrich","D",18758795
"645","Brown","JJ",18721277
"646","Zhang","AY",18694919
"647","Cuesta Cuesta","JJ",18689210
"648","Genders","RE",18687846
"649","Stahl","S",18669144
"650","Seyhan","T",18667372
"651","Larson","D",18644117
"652","Landwehrs","GM",18633887
"653","De","D",18627702
"654","Loos","B",18626344
"655","Fitzgibbons","PG",18590861
"656","Oberlin","C",18562390
"657","Figus","A",18562356
"658","Govaert","WH",18549180
"659","Schechtman","AD",18533370
"660","Högemann","A",18516613
"661","Yenidunya","MO",18513876
"662","Kaur","S",18474290
"663","Cheng","HS",18453667
"664","Jerosch-Herold","C",18447898
"665","Stollery","N",18447200
"666","Monacelli","G",18419978
"667","Swartz","WM",18379378
"668","Unglaub","F",18351368
"669","Fernández-García","R",18351247
"670","Yin Loh","K",18345365
"671","Rehman","S",18343292
"672","Marsh","AR",18332035
"673","Lefebvre","M",18318295
"674","Hnanicek","J",18194242
"675","Kateva","M",19263644
"676","Richard-Kadio","M",18162430
"677","Zyluk","A",18092701
"678","Bayat","A",18087853
"679","Puepet","FH",18080603
"680","Koźma","EM",18066404
"681","Lucas","G",18033693
"682","Kilian","O",18024269
"683","Forsman","M",17996904
"684","Anwar","MU",17996779
"685","Elhadd","TA",17956459
"686","Abe","Y",17950225
"687","Sorene","ED",17950218
"688","Burke","FD",17950195
"689","Papapetropoulos","S",17934282
"690","Herweijer","H",17852228
"691","Salamon","A",17766219
"692","Di Martino","A",17766050
"693","Shaw","RB",17700106
"694","Trojian","TH",17668844
"695","Farley","HH",17621918
"696","Loos","B",17610744
"697","Badalamente","MA",17606053
"698","Corrado","A",17603691
"699","Kobus","K",17538519
"700","Rayan","GM",17472297
"701","Kaniewska","A",17455523
"702","Calif","E",17377153
"703","Rayan","G",17336843
"704","Habash","A",17336842
"705","Johnston","P",17336841
"706","Lubahn","JD",17336840
"707","Zyluk","A",17335947
"708","Abe","Y",17287058
"709","Eastwood","GL",17275974
"710","Misra","A",17275601
"711","Roy","N",17260604
"712","Van Giffen","N",17260603
"713","Rayan","GM",17256226
"714","Augoff","K",17145384
"715","Hindocha","S",17145383
"716","Savaş","S",17141353
"717","Bowley","E",17109886
"718","Pelissier","P",17097781
"719","Snell","BJ",17097779
"720","Al-Qattan","MM",17095386
"721","Hoşten","T",17089232
"722","Ali","SN",17065122
"723","Strassmair","M",17059195
"724","Lukas","B",17059192
"725","O'Gorman","D",17058431
"726","Symes","T",17045371
"727","Trèves","R",17013443
"728","Namazi","H",17010530
"729","Gilgenkrantz","S",16962055
"730","Foote","JA",16959386
"731","O'Gorman","DB",16942611
"732","Rao","K",16930792
"733","Wong","M",16875762
"734","Jagielski","W",16875185
"735","Schwartz","DA",16861134
"736","Dias","JJ",16837113
"737","Coert","JH",16799301
"738","Wang","L",16776980
"739","van Rijssen","AL",16766101
"740","Mandal","A",16762464
"741","Titarenko","IV",16752657
"742","van Rijssen","AL",16713831
"743","Akyol","A",16652017
"744","Carantino","A",16610177
"745","Seyhan","H",16582795
"746","Kopp","J",16563228
"747","Townley","WA",16484265
"748","Schubert","TE",16474037
"749","Lee","LC",16473681
"750","Hindocha","S",16473680
"751","Bayat","A",16460628
"752","Kakinoki","R",16437359
"753","Reuben","SS",16428550
"754","Namazi","H",16368197
"755","Hobby","JL",16368173
"756","Namazi","H",16343796
"757","Au-Yong","IT",16340578
"758","Del Frari","B",16287015
"759","Alexandre",NA,16253709
"760","Geffroy","JC",16249686
"761","Rethnam","U",16223551
"762","Hu","FZ",16207209
"763","Kulkarni","M",16202489
"764","Bulstrode","NW",16182062
"765","Rayan","GM",16182061
"766","Reilly","RM",16182060
"767","Cordova","A",16168532
"768","Citron","ND",16140442
"769","Allamprese","P",16124527
"770","Logan","AJ",16118302
"771","Carantino","A",16106935
"772","Augoff","K",16055243
"773","Hart","MG",15998816
"774","Maravic","M",15993524
"775","Bulstrode","NW",15988270
"776","Riedl","CR",15982798
"777","Bain","S",15938345
"778","Childs","SG",15902016
"779","Forsman","M",15865122
"780","Koźma","EM",15858170
"781","Elliot","D",15757767
"782","Denkler","K",15731682
"783","Bebbington","A",15686249
"784","Sampaio","FJ",15679983
"785","Wilbrand","S",15649673
"786","Bayat","A",15622243
"787","Augoff","K",15622242
"788","Durić","M",15571101
"789","Boyce","DE",15542232
"790","Tse","R",15541177
"791","Plewig","G",15540531
"792","Kamien","M",15487356
"793","Godtfredsen","NS",15485739
"794","Schiavon","F",15470518
"795","Shin","SS",15465229
"796","Draviaraj","KP",15465228
"797","Burge","PD",15446545
"798","Abe","Y",15336743
"799","Geoghegan","JM",15336742
"800","Ehrmantant","WR",15318052
"801","Qian","A",15302515
"802","van der Slot","AJ",15296939
"803","Abe","Y",15234500
"804","Bobiński","R",15181751
